height_yrs,calendar_year,n_lineages
59.69386681148135,1964.8061331885187,70
59.148569692050394,1965.3514303079496,71
58.55198683289144,1965.9480131671085,72
57.754171907524686,1966.7458280924752,73
57.57177793319118,1966.9282220668088,74
57.46683681054521,1967.0331631894549,75
57.46624975219058,1967.0337502478094,76
57.155134074382644,1967.3448659256173,77
56.81357582457842,1967.6864241754215,78
56.299556949391174,1968.2004430506088,79
56.04955232898966,1968.4504476710104,80
55.73438301441463,1968.7656169855854,81
55.625043420579715,1968.8749565794203,82
54.965456085540055,1969.5345439144598,83
54.893848041325974,1969.606151958674,84
54.71991731135669,1969.7800826886432,85
54.717101351373756,1969.7828986486263,86
54.577502406679166,1969.922497593321,87
53.8542799706136,1970.6457200293864,88
53.826634958776815,1970.6733650412232,89
53.73733172152851,1970.7626682784714,90
53.10391305722148,1971.3960869427785,91
52.82149274075675,1971.6785072592434,92
52.76359071645293,1971.7364092835471,93
52.408872607928096,1972.091127392072,94
52.31926472507573,1972.1807352749242,95
52.30834071385062,1972.1916592861494,96
52.30713294696416,1972.1928670530358,97
52.223748613165824,1972.2762513868342,98
51.83558573763191,1972.6644142623682,99
51.72933224504023,1972.7706677549597,100
51.461312682211165,1973.0386873177888,101
51.39232769927225,1973.1076723007277,102
50.80418491350917,1973.695815086491,103
50.13499034393117,1974.3650096560689,104
50.12441813742393,1974.3755818625762,105
49.32990662928461,1975.1700933707154,106
49.24713185080068,1975.2528681491992,107
48.71669906013578,1975.7833009398641,108
48.62418120035157,1975.8758187996484,109
48.48087913012596,1976.019120869874,110
48.29234409970022,1976.2076559002999,111
48.19205300276553,1976.3079469972345,112
48.04214828478612,1976.4578517152138,113
47.99278372083879,1976.5072162791612,114
47.79822145940588,1976.7017785405942,115
47.565370478471436,1976.9346295215287,116
46.942007506970306,1977.5579924930296,117
46.7858643206633,1977.7141356793368,118
46.617593086142875,1977.882406913857,119
46.34639331827547,1978.1536066817246,120
46.31652401047328,1978.1834759895266,121
45.85769953294038,1978.6423004670596,122
45.80181219597093,1978.698187804029,123
45.660459388034866,1978.839540611965,124
45.52207595155046,1978.9779240484495,125
45.250908600300555,1979.2490913996994,126
45.00056124428427,1979.4994387557158,127
44.97554983274104,1979.524450167259,128
44.83174380958284,1979.6682561904172,129
44.53906979202164,1979.9609302079784,130
44.3100813708829,1980.189918629117,131
44.263264363224806,1980.2367356367752,132
44.19516589682777,1980.3048341031722,133
44.12568526016343,1980.3743147398366,134
44.11548650736227,1980.3845134926378,135
44.065997017864895,1980.434002982135,136
43.99606574007341,1980.5039342599266,137
43.78916351099746,1980.7108364890025,138
43.766487070650676,1980.7335129293492,139
43.75191214680678,1980.7480878531933,140
43.74863925988278,1980.7513607401172,141
43.66920547680105,1980.8307945231988,142
43.62861104689114,1980.8713889531089,143
43.31884164809318,1981.1811583519068,144
42.97942437333907,1981.520575626661,145
42.80562157337332,1981.6943784266266,146
42.52680959963298,1981.973190400367,147
42.497312949974535,1982.0026870500255,148
42.457421267122626,1982.0425787328775,149
42.40078147959355,1982.0992185204063,150
42.276015219188594,1982.2239847808114,151
42.085144100526534,1982.4148558994734,152
41.63734426945132,1982.8626557305488,153
41.60299260677835,1982.8970073932217,154
41.30414046278207,1983.195859537218,155
41.017190087837236,1983.4828099121628,156
40.842102768429044,1983.657897231571,157
40.70388843203635,1983.7961115679636,158
40.583445052088365,1983.9165549479117,159
40.519518431501815,1983.9804815684981,160
40.25087476042257,1984.2491252395773,161
39.93036334983654,1984.5696366501634,162
39.922667882417585,1984.5773321175825,163
39.877047558424266,1984.6229524415758,164
39.79260878212517,1984.7073912178748,165
39.365552481893765,1985.1344475181063,166
39.202086656402415,1985.2979133435977,167
39.20037366693765,1985.2996263330624,168
38.91559296140336,1985.5844070385967,169
38.87224541730623,1985.6277545826938,170
38.853219996916984,1985.646780003083,171
38.69272432343089,1985.8072756765691,172
38.66256456744524,1985.8374354325547,173
38.33329539539815,1986.1667046046018,174
38.316128915686214,1986.1838710843138,175
38.31172552049115,1986.188274479509,176
38.19048919626758,1986.3095108037323,177
37.84274815571352,1986.6572518442865,178
37.81580222123341,1986.6841977787667,179
37.65141416462082,1986.8485858353793,180
37.52658952774241,1986.9734104722577,181
37.47980305947864,1987.0201969405214,182
37.3462517896764,1987.1537482103236,183
37.260725349989194,1987.2392746500109,184
37.217341734769285,1987.2826582652308,185
36.84414200384776,1987.6558579961522,186
36.801807323926624,1987.6981926760734,187
36.67978684202745,1987.8202131579726,188
36.617588532437125,1987.8824114675629,189
36.44035438703863,1988.0596456129613,190
36.38013734087877,1988.1198626591213,191
36.367305830545824,1988.1326941694542,192
36.16502686596398,1988.334973134036,193
36.00638402898002,1988.49361597102,194
35.9204614721989,1988.579538527801,195
35.904741282253966,1988.595258717746,196
35.73502293397258,1988.7649770660273,197
35.67090961564917,1988.8290903843508,198
35.65293290393347,1988.8470670960664,199
35.65259015665506,1988.8474098433448,200
35.45642366313943,1989.0435763368605,201
35.400112239264686,1989.0998877607353,202
35.3937133673039,1989.106286632696,203
35.335859613369166,1989.1641403866308,204
35.3098258011435,1989.1901741988565,205
35.252895480380595,1989.2471045196194,206
35.055464691677194,1989.4445353083229,207
34.81832651021829,1989.6816734897818,208
34.8156139845202,1989.6843860154797,209
34.61409887472999,1989.88590112527,210
34.34207002958432,1990.1579299704156,211
34.333716717159525,1990.1662832828404,212
33.94220314927127,1990.5577968507287,213
33.889377994344116,1990.6106220056558,214
33.74332383280032,1990.7566761671997,215
33.67789681460177,1990.8221031853982,216
33.63214278139655,1990.8678572186034,217
33.6114315410277,1990.8885684589723,218
33.54950047519356,1990.9504995248064,219
33.41252871613128,1991.0874712838688,220
33.35187659142633,1991.1481234085736,221
33.305522825771625,1991.1944771742283,222
33.29958750756978,1991.2004124924301,223
33.24294469543491,1991.257055304565,224
33.21887370270502,1991.281126297295,225
33.15878818309492,1991.3412118169051,226
33.06989458985213,1991.430105410148,227
33.050138409944616,1991.4498615900554,228
32.883932791942044,1991.616067208058,229
32.064263678549224,1992.4357363214508,230
31.983537105177145,1992.5164628948228,231
31.9694264086873,1992.5305735913128,232
31.96247098374837,1992.5375290162517,233
31.847767131631873,1992.6522328683682,234
31.695169094999514,1992.8048309050005,235
31.651353523742916,1992.848646476257,236
31.592865081742726,1992.9071349182573,237
31.589790573304704,1992.9102094266952,238
31.545262207312902,1992.9547377926872,239
31.476321587223623,1993.0236784127765,240
31.309890841574795,1993.1901091584252,241
31.20538056454562,1993.2946194354545,242
31.08944868845203,1993.410551311548,243
31.076235134772777,1993.4237648652272,244
30.987860881745934,1993.512139118254,245
30.904411850170828,1993.5955881498292,246
30.898423326842565,1993.6015766731575,247
30.850284076867954,1993.6497159231321,248
30.458597252041987,1994.041402747958,249
30.386739249686123,1994.1132607503139,250
30.378444602783738,1994.1215553972163,251
30.243247455285218,1994.2567525447148,252
30.169444895510917,1994.3305551044891,253
30.087496794451074,1994.412503205549,254
30.05411757337463,1994.4458824266253,255
29.99373039827414,1994.5062696017258,256
