node_id,n_tips,height_yrs,hpd_lo_yrs,hpd_hi_yrs,calendar_mean,calendar_hpd_lo,calendar_hpd_hi,posterior
352,6,63.2365651298897,43.36535608488356,83.55755305058221,1961.2634348701104,1940.942446949418,1981.1346439151164,0.0680214664281508
188,6,26.841979859186665,16.60853360756721,38.044112102278746,1997.6580201408133,1986.4558878977214,2007.891466392433,0.36560704881056877
262,6,26.586967824783823,19.30026605728446,33.17559647470995,1997.9130321752161,1991.32440352529,2005.1997339427155,0.009144342840635105
478,6,106.12921022429119,72.56595510484428,141.94547243763736,1918.3707897757088,1882.5545275623626,1951.9340448951557,1.0
34,6,33.94220314927127,25.092307511475497,44.42187069276855,1990.5577968507287,1980.0781293072314,1999.4076924885244,0.04044399506672148
272,6,35.45642366313943,23.941912464726443,48.488256996378766,1989.0435763368605,1976.0117430036212,2000.5580875352734,0.9938889567893691
454,6,29.77635589372472,21.6986502166381,38.4266497991141,1994.7236441062753,1986.073350200886,2002.801349783362,0.10728769680336885
39,6,25.159862101939705,17.99205417987301,33.6374415086662,1999.3401378980602,1990.8625584913339,2006.507945820127,0.27079699114454286
504,6,166.60667638559207,120.6492636955688,218.44237072843936,1857.893323614408,1806.0576292715607,1903.8507363044312,1.0
99,6,36.38013734087877,23.85869318499647,50.2298184012991,1988.1198626591213,1974.270181598701,2000.6413068150036,0.15886490150109442
444,6,43.31884164809318,29.894892227396326,58.73752908894227,1981.1811583519068,1965.7624709110578,1994.6051077726038,0.6367818135354052
435,6,26.855323633050105,17.21950234847381,37.90781984063955,1997.6446763669499,1986.5921801593604,2007.2804976515263,0.2675636937367363
357,5,56.299556949391174,36.27239687644851,78.45411837879936,1968.2004430506088,1946.0458816212006,1988.2276031235515,1.0
199,5,58.55198683289144,38.527262084907136,81.15052872844393,1965.9480131671085,1943.349471271556,1985.972737915093,0.18762013755402718
189,5,23.43909213594886,14.754727230404853,33.135431079342084,2001.0609078640512,1991.3645689206578,2009.7452727695952,0.4856168264797058
167,5,20.969182172169766,14.56695085289661,30.16378250097597,2003.5308178278303,1994.336217499024,2009.9330491471035,0.012699858890456772
183,5,19.93035895998533,13.011164134628416,27.813505810940114,2004.5696410400146,1996.6864941890599,2011.4888358653716,0.10058777124698615
312,5,22.208853704929687,17.545528409158692,27.793639222132413,2002.2911462950703,1996.7063607778675,2006.9544715908414,0.002766635926267486
48,5,27.983063922280174,18.091417396791343,39.13418243571152,1996.5169360777197,1985.3658175642886,2006.4085826032087,0.4223175298052244
73,5,23.273065542721213,17.489937318240663,30.209919384363957,2001.2269344572787,1994.290080615636,2007.0100626817593,0.021588649015010945
288,5,19.548124700410774,16.10174577419079,23.767062631382373,2004.9518752995891,2000.7329373686175,2008.3982542258093,0.09923223075299163
232,5,27.99591985088369,19.09810522666058,39.069239220687166,1996.5040801491164,1985.4307607793128,2005.4018947733393,0.9842446195042277
222,5,39.202086656402415,26.638553656048714,53.974950694875304,1985.2979133435977,1970.5250493051246,1997.8614463439512,0.6581149098343352
523,5,37.81580222123341,22.248834313050736,56.12987022152248,1986.6841977787667,1968.3701297784776,2002.2511656869492,0.6620148665014833
273,5,31.9694264086873,22.213494519393237,43.17675771097072,1992.5305735913128,1981.3232422890292,2002.2865054806068,0.2933745180609104
252,5,24.00684853875644,14.038740048211906,35.63384248927443,2000.4931514612435,1988.8661575107255,2010.4612599517882,0.9793780069110343
30,5,24.84796412718358,16.644821523579424,34.0109551459816,1999.6520358728164,1990.4890448540184,2007.8551784764206,0.8870012555416051
159,5,25.64656588949222,14.237598591662902,39.239025410450154,1998.8534341105078,1985.2609745895497,2010.2624014083372,0.18932011866534817
110,5,40.70388843203635,26.360255797481585,56.4834624028955,1983.7961115679636,1968.0165375971046,1998.1397442025184,0.7051032766302596
440,5,30.386739249686123,19.924659215898373,42.52061988862499,1994.1132607503139,1981.9793801113751,2004.5753407841016,0.14706503261074877
428,5,33.305522825771625,22.92596440878873,45.479637521071936,1991.1944771742283,1979.020362478928,2001.5740355912112,0.11846535038499573
106,5,22.92394222330907,13.421105672257966,34.07021950518964,2001.576057776691,1990.4297804948103,2011.078894327742,0.33186297930023
128,5,26.410713105884884,20.70487873875578,32.816353852125246,1998.089286894115,1991.6836461478747,2003.7951212612443,0.006655481605759936
132,5,25.737024156411785,19.74259674595652,32.45339618686603,1998.7629758435883,1992.046603813134,2004.7574032540435,0.04427728580793547
420,5,17.407192640411445,11.181177557190694,25.114582799301502,2007.0928073595885,1999.3854172006986,2013.3188224428093,0.9997222253086077
390,5,51.83558573763191,30.916730293094133,68.30121539977296,1972.6644142623682,1956.198784600227,1993.5832697069059,0.01383317963133743
6,5,42.52680959963298,25.259973791564164,61.79992638052414,1981.973190400367,1962.700073619476,1999.240026208436,1.0
505,5,131.963692310071,92.0080322680675,176.0347906697483,1892.536307689929,1848.4652093302516,1932.4919677319326,1.0
500,5,66.71988514316446,39.149780261123226,97.50621646518704,1957.7801148568356,1926.993783534813,1985.3502197388768,1.0
35,5,27.180061853951386,21.607612929243885,34.036039694824126,1997.3199381460486,1990.463960305176,2002.892387070756,0.973389184564616
464,5,25.78315275042036,18.746872633188303,34.34909004615173,1998.7168472495796,1990.1509099538482,2005.7531273668117,0.16296485594604504
340,5,36.16502686596398,19.804772193499645,57.91917825652604,1988.334973134036,1966.580821743474,2004.6952278065003,0.03731069654781614
353,5,54.893848041325974,38.06726649670543,73.23360198957198,1969.606151958674,1951.266398010428,1986.4327335032945,0.5431272985855713
